question,context,ground_truth,keywords,context_answer
Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu trong trường hợp nào?,"Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu khi thuộc trường hợp quy định tại khoản 1 Điều 50 của Luật hôn nhân và gia đình và lưu ý một số trường hợp sau đây: a) Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu do vi phạm quyền được bảo đảm chỗ ở của vợ, chồng quy định tại Điều 31 và điểm b khoản 1 Điều 50 của Luật hôn nhân và gia đình là trường hợp thỏa thuận đó cho phép một bên được quyền định đoạt nhà ở là nơi ở duy nhất của vợ chồng dẫn đến vợ, chồng không có chỗ ở hoặc không bảo đảm chỗ ở tối thiểu về diện tích, điều kiện sinh hoạt, an toàn, vệ sinh môi trường theo quy định của pháp luật về nhà ở. b) Nội dung của thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu do vi phạm nghiêm trọng quyền được cấp dưỡng, quyền được thừa kế và các quyền, lợi ích hợp pháp khác của cha, mẹ, con và các thành viên khác của gia đình quy định tại điểm c khoản 1 Điều 50 của Luật hôn nhân và gia đình là trường hợp thỏa thuận đó nhằm trốn tránh nghĩa vụ cấp","Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu khi thuộc trường hợp quy định tại khoản 1 Điều 50 của Luật hôn nhân và gia đình, bao gồm vi phạm quyền được bảo đảm chỗ ở của vợ, chồng và vi phạm nghiêm trọng quyền được cấp dưỡng, quyền được thừa kế và các quyền, lợi ích hợp pháp khác của cha, mẹ, con và các thành viên khác của gia đình. (Theo Điều 50 của Luật hôn nhân và gia đình)","thỏa thuận, chế độ tài sản, vô hiệu","Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu khi vi phạm quyền được bảo đảm chỗ ở hoặc vi phạm nghiêm trọng quyền được cấp dưỡng, quyền được thừa kế và các quyền, lợi ích hợp pháp khác của gia đình."
"Vi phạm quyền được bảo đảm chỗ ở của vợ, chồng dẫn đến hậu quả gì?","Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu khi thuộc trường hợp quy định tại khoản 1 Điều 50 của Luật hôn nhân và gia đình và lưu ý một số trường hợp sau đây: a) Thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu do vi phạm quyền được bảo đảm chỗ ở của vợ, chồng quy định tại Điều 31 và điểm b khoản 1 Điều 50 của Luật hôn nhân và gia đình là trường hợp thỏa thuận đó cho phép một bên được quyền định đoạt nhà ở là nơi ở duy nhất của vợ chồng dẫn đến vợ, chồng không có chỗ ở hoặc không bảo đảm chỗ ở tối thiểu về diện tích, điều kiện sinh hoạt, an toàn, vệ sinh môi trường theo quy định của pháp luật về nhà ở. b) Nội dung của thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu do vi phạm nghiêm trọng quyền được cấp dưỡng, quyền được thừa kế và các quyền, lợi ích hợp pháp khác của cha, mẹ, con và các thành viên khác của gia đình quy định tại điểm c khoản 1 Điều 50 của Luật hôn nhân và gia đình là trường hợp thỏa thuận đó nhằm trốn tránh nghĩa vụ cấp","Vi phạm quyền được bảo đảm chỗ ở của vợ, chồng dẫn đến vợ, chồng không có chỗ ở hoặc không bảo đảm chỗ ở tối thiểu về diện tích, điều kiện sinh hoạt, an toàn, vệ sinh môi trường theo quy định của pháp luật về nhà ở. (Theo Điều 31 và điểm b khoản 1 Điều 50 của Luật hôn nhân và gia đình)","quyền được bảo đảm, chỗ ở, vợ chồng","Vi phạm quyền được bảo đảm chỗ ở của vợ, chồng có thể dẫn đến việc vợ, chồng không có nơi ở hoặc không có điều kiện sống tối thiểu."
Kết hôn có thể ảnh hưởng đến nghĩa vụ cấp dưỡng không?,"n 1 Điều 50 của Luật hôn nhân và gia đình là trường hợp thỏa thuận đó nhằm trốn tránh nghĩa vụ cấp dưỡng quy định từ Điều 110 đến Điều 115 của Luật hôn nhân và gia đình hoặc để tước bỏ quyền thừa kế của những người thừa kế không phụ thuộc vào nội dung di chúc theo quy định của Bộ luật dân sự hoặc vi phạm các quyền, lợi ích hợp pháp của cha, mẹ, con và các thành viên khác của gia đình đã được Luật hôn nhân và gia đình và pháp luật khác có liên quan quy định.","Kết hôn có thể ảnh hưởng đến nghĩa vụ cấp dưỡng nếu việc kết hôn đó nhằm trốn tránh nghĩa vụ cấp dưỡng. Theo Điều 50 của Luật hôn nhân và gia đình, thỏa thuận về tài sản giữa vợ chồng có thể bị vô hiệu nếu nhằm trốn tránh nghĩa vụ cấp dưỡng quy định từ Điều 110 đến Điều 115 của Luật hôn nhân và gia đình.","kết hôn, nghĩa vụ cấp dưỡng, Luật hôn nhân",Kết hôn có thể ảnh hưởng đến nghĩa vụ cấp dưỡng nếu việc kết hôn đó nhằm trốn tránh nghĩa vụ cấp dưỡng.
Thỏa thuận về tài sản của vợ chồng có thể bị vô hiệu trong trường hợp nào?,"n 1 Điều 50 của Luật hôn nhân và gia đình là trường hợp thỏa thuận đó nhằm trốn tránh nghĩa vụ cấp dưỡng quy định từ Điều 110 đến Điều 115 của Luật hôn nhân và gia đình hoặc để tước bỏ quyền thừa kế của những người thừa kế không phụ thuộc vào nội dung di chúc theo quy định của Bộ luật dân sự hoặc vi phạm các quyền, lợi ích hợp pháp của cha, mẹ, con và các thành viên khác của gia đình đã được Luật hôn nhân và gia đình và pháp luật khác có liên quan quy định.","Thỏa thuận về tài sản của vợ chồng có thể bị vô hiệu nếu thỏa thuận đó nhằm trốn tránh nghĩa vụ cấp dưỡng, tước bỏ quyền thừa kế hoặc vi phạm các quyền, lợi ích hợp pháp của cha, mẹ, con và các thành viên khác của gia đình. Theo Điều 50 của Luật hôn nhân và gia đình, các trường hợp này sẽ bị coi là vô hiệu.","thỏa thuận tài sản, vô hiệu, Luật hôn nhân","Thỏa thuận về tài sản của vợ chồng có thể bị vô hiệu nếu thỏa thuận đó nhằm trốn tránh nghĩa vụ cấp dưỡng hoặc vi phạm các quyền, lợi ích hợp pháp của gia đình."
Vợ chồng có thể tự thỏa thuận về phân chia tài sản khi ly hôn không?,"hế chế độ tài sản của vợ chồng, trong đó có nội dung toàn bộ tài sản của anh A sẽ do chị B thừa hưởng khi anh A chết. Trong trường hợp này, nội dung thỏa thuận về chế độ tài sản giữa anh A và chị B bị vô hiệu đối với phần tài sản của anh A mà người con bị mất năng lực hành vi dân sự được thừa kế theo quy định của pháp luật. Điều 7. Nguyên tắc giải quyết tài sản của vợ chồng khi ly hôn 1. Vợ chồng khi ly hôn có quyền tự thỏa thuận với nhau về toàn bộ các vấn đề, trong đó có cả việc phân chia tài sản. Trường hợp vợ chồng không thỏa thuận được mà có yêu cầu thì Tòa án phải xem xét, quyết định việc áp dụng chế độ tài sản của vợ chồng theo thỏa thuận hay theo luật định, tùy từng trường hợp cụ thể mà Tòa án xử lý như sau: a) Trường hợp không có văn bản thỏa thuận về chế độ tài sản của vợ chồng hoặc văn bản thỏa thuận về chế độ tài sản của vợ chồng bị Tòa án tuyên bố vô hiệu toàn bộ thì áp dụng chế độ tài sản của vợ chồng theo luật định để chia tài sản của vợ chồng khi ly hôn; b) Trườ","Vợ chồng khi ly hôn có quyền tự thỏa thuận với nhau về toàn bộ các vấn đề, trong đó có cả việc phân chia tài sản theo quy định tại Điều 7 của TTLT-TANDTC-VKSNDTC-BTP.","ly hôn, tài sản, thỏa thuận",Vợ chồng có thể tự thỏa thuận về phân chia tài sản khi ly hôn theo quy định của pháp luật.
Tòa án sẽ xử lý như thế nào nếu vợ chồng không thỏa thuận được về phân chia tài sản khi ly hôn?,"hế chế độ tài sản của vợ chồng, trong đó có nội dung toàn bộ tài sản của anh A sẽ do chị B thừa hưởng khi anh A chết. Trong trường hợp này, nội dung thỏa thuận về chế độ tài sản giữa anh A và chị B bị vô hiệu đối với phần tài sản của anh A mà người con bị mất năng lực hành vi dân sự được thừa kế theo quy định của pháp luật. Điều 7. Nguyên tắc giải quyết tài sản của vợ chồng khi ly hôn 1. Vợ chồng khi ly hôn có quyền tự thỏa thuận với nhau về toàn bộ các vấn đề, trong đó có cả việc phân chia tài sản. Trường hợp vợ chồng không thỏa thuận được mà có yêu cầu thì Tòa án phải xem xét, quyết định việc áp dụng chế độ tài sản của vợ chồng theo thỏa thuận hay theo luật định, tùy từng trường hợp cụ thể mà Tòa án xử lý như sau: a) Trường hợp không có văn bản thỏa thuận về chế độ tài sản của vợ chồng hoặc văn bản thỏa thuận về chế độ tài sản của vợ chồng bị Tòa án tuyên bố vô hiệu toàn bộ thì áp dụng chế độ tài sản của vợ chồng theo luật định để chia tài sản của vợ chồng khi ly hôn; b) Trườ","Tòa án sẽ xem xét, quyết định việc áp dụng chế độ tài sản của vợ chồng theo thỏa thuận hay theo luật định, tùy từng trường hợp cụ thể theo quy định tại Điều 7 của TTLT-TANDTC-VKSNDTC-BTP.","ly hôn, tài sản, Tòa án",Tòa án sẽ xem xét và quyết định việc phân chia tài sản dựa trên quy định của pháp luật nếu vợ chồng không thỏa thuận được.
Chia tài sản khi ly hôn được thực hiện như thế nào?,áp dụng chế độ tài sản của vợ chồng theo luật định để chia tài sản của vợ chồng khi ly hôn; trường hợp có văn bản thỏa thuận về chế độ tài sản của vợ chồng và văn bản này không bị Tòa án tuyên bố vô hiệu toàn bộ thì áp dụng các nội dung của văn bản thỏa thuận để chia tài sản của vợ chồng khi ly hôn.,"Khi ly hôn, việc chia tài sản được thực hiện theo chế độ tài sản của vợ chồng theo luật định hoặc theo văn bản thỏa thuận về chế độ tài sản của vợ chồng nếu không bị Tòa án tuyên bố vô hiệu. Theo Điều 59 và các điều 60, 61, 62, 63, 64 của Luật hôn nhân và gia đình, Tòa án sẽ xem xét và áp dụng các quy định tương ứng để chia tài sản của vợ chồng khi ly hôn.","ly hôn, chia tài sản, chế độ tài sản","Khi ly hôn, tài sản của vợ chồng sẽ được chia theo chế độ tài sản của vợ chồng theo luật định hoặc theo thỏa thuận của vợ chồng."
Tòa án có thẩm quyền tuyên bố thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu không?,trường hợp có văn bản thỏa thuận về chế độ tài sản của vợ chồng và văn bản này không bị Tòa án tuyên bố vô hiệu toàn bộ thì áp dụng các nội dung của văn bản thỏa thuận để chia tài sản của vợ chồng khi ly hôn.,"Có, Tòa án có thẩm quyền tuyên bố thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu nếu có yêu cầu. Theo quy định, khi giải quyết ly hôn, nếu có yêu cầu tuyên bố thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu, Tòa án sẽ xem xét và giải quyết đồng thời với yêu cầu chia tài sản của vợ chồng khi ly hôn.","Tòa án, thỏa thuận, vô hiệu",Tòa án có thể tuyên bố thỏa thuận về chế độ tài sản của vợ chồng bị vô hiệu nếu có yêu cầu và đủ căn cứ.
Vợ chồng có quyền ly hôn khi có nghĩa vụ với người thứ ba không?,"Trường hợp vợ, chồng có quyền, nghĩa vụ về tài sản với người thứ ba mà họ có yêu cầu giải quyết thì Tòa án phải giải quyết khi chia tài sản chung của vợ chồng. Trường hợp vợ chồng có nghĩa vụ với người thứ ba mà người thứ ba không yêu cầu giải quyết thì Tòa án hướng dẫn họ để giải quyết bằng vụ án khác.","Vợ chồng có quyền ly hôn khi có nghĩa vụ với người thứ ba, nhưng Tòa án sẽ hướng dẫn họ giải quyết bằng vụ án khác nếu người thứ ba không yêu cầu giải quyết. (Khoản 4, Điều 59 Luật Hôn nhân và gia đình)","ly hôn, người thứ ba, tài sản chung","Vợ chồng có thể ly hôn khi có nghĩa vụ với người thứ ba, nhưng cần phải giải quyết vấn đề tài sản chung và nghĩa vụ với người thứ ba trong quá trình ly hôn."
Tài sản chung của vợ chồng được chia như thế nào khi ly hôn?,"Trường hợp áp dụng chế độ tài sản của vợ chồng theo luật định để chia tài sản của vợ chồng khi ly hôn thì tài sản chung của vợ chồng về nguyên tắc được chia đôi nhưng có tính đến các yếu tố sau đây để xác định tỷ lệ tài sản mà vợ chồng được chia: a) “Hoàn cảnh của gia đình và của vợ, chồng” là tình trạng về năng lực pháp luật, năng lực hành vi, sức khỏe, tài sản, khả năng lao động tạo ra thu nhập sau khi ly hôn của vợ, chồng cũng như của các thành viên khác trong gia đình mà vợ chồng có quyền, nghĩa vụ về nhân thân và tài sản theo quy định của Luật hôn nhân và gia đình","Tài sản chung của vợ chồng được chia đôi khi ly hôn, nhưng có tính đến các yếu tố như hoàn cảnh của gia đình và của vợ, chồng để xác định tỷ lệ tài sản mà vợ chồng được chia. (Khoản 4, Điều 59 Luật Hôn nhân và gia đình)","tài sản chung, ly hôn, chia tài sản","Tài sản chung của vợ chồng được chia đôi khi ly hôn, nhưng Tòa án sẽ xem xét các yếu tố như hoàn cảnh của gia đình và của vợ, chồng để quyết định tỷ lệ chia tài sản."
"Vợ chồng có quyền, nghĩa vụ về nhân thân và tài sản như thế nào khi ly hôn?","ình mà vợ chồng có quyền, nghĩa vụ về nhân thân và tài sản theo quy định của Luật hôn nhân và gia đình. Bên gặp khó khăn hơn sau khi ly hôn được chia phần tài sản nhiều hơn so với bên kia hoặc được ưu tiên nhận loại tài sản để bảo đảm duy trì, ổn định cuộc sống của họ nhưng phải phù hợp với hoàn cảnh thực tế của gia đình và của vợ, chồng.","Khi ly hôn, vợ chồng có quyền, nghĩa vụ về nhân thân và tài sản theo quy định của Luật hôn nhân và gia đình. Theo đó, bên gặp khó khăn hơn sau khi ly hôn được chia phần tài sản nhiều hơn so với bên kia hoặc được ưu tiên nhận loại tài sản để bảo đảm duy trì, ổn định cuộc sống của họ (theo điểm a, Điều 59 Luật Hôn nhân và gia đình)","ly hôn, quyền, tài sản","Khi ly hôn, vợ chồng sẽ được chia tài sản dựa trên hoàn cảnh thực tế của gia đình và của vợ, chồng."
"Công sức đóng góp của vợ, chồng vào việc tạo lập, duy trì và phát triển khối tài sản chung được tính như thế nào?","b) “Công sức đóng góp của vợ, chồng vào việc tạo lập, duy trì và phát triển khối tài sản chung” là sự đóng góp về tài sản riêng, thu nhập, công việc gia đình và lao động của vợ, chồng trong việc tạo lập, duy trì và phát triển khối tài sản chung.","Công sức đóng góp của vợ, chồng vào việc tạo lập, duy trì và phát triển khối tài sản chung được tính dựa trên sự đóng góp về tài sản riêng, thu nhập, công việc gia đình và lao động của vợ, chồng. Người vợ hoặc chồng ở nhà chăm sóc con, gia đình mà không đi làm được tính là lao động có thu nhập tương đương với thu nhập của chồng hoặc vợ đi làm (theo điểm b, Điều 59 Luật Hôn nhân và gia đình)","công sức, đóng góp, tài sản","Công sức đóng góp của vợ, chồng vào việc tạo lập, duy trì và phát triển khối tài sản chung được tính dựa trên sự đóng góp về tài sản riêng, thu nhập, công việc gia đình và lao động của vợ, chồng."
"Khi ly hôn, làm thế nào để chia tài sản chung của vợ chồng?","có điều kiện tiếp tục lao động tạo thu nhập” là việc chia tài sản chung của vợ chồng phải bảo đảm cho vợ, chồng đang hoạt động nghề nghiệp được tiếp tục hành nghề; cho vợ, chồng đang hoạt động sản xuất, kinh doanh được tiếp tục được sản xuất, kinh doanh để tạo thu nhập và phải thanh toán cho bên kia phần giá trị tài sản chênh lệch.","Khi ly hôn, việc chia tài sản chung của vợ chồng phải bảo đảm cho vợ, chồng đang hoạt động nghề nghiệp được tiếp tục hành nghề; cho vợ, chồng đang hoạt động sản xuất, kinh doanh được tiếp tục được sản xuất, kinh doanh để tạo thu nhập và phải thanh toán cho bên kia phần giá trị tài sản chênh lệch, theo quy định tại Điều 59 của Luật Hôn nhân và gia đình.","ly hôn, chia tài sản, tạo thu nhập","Khi ly hôn, vợ chồng có thể thỏa thuận về việc chia tài sản chung, nhưng phải đảm bảo quyền và lợi ích hợp pháp của cả hai bên."
Vợ chồng có thể chia tài sản chung như thế nào khi ly hôn?,"Ví dụ: Vợ chồng có tài sản chung là một chiếc ô tô người chồng đang chạy xe taxi trị giá 400 triệu đồng và một cửa hàng tạp hóa người vợ đang kinh doanh trị giá 200 triệu đồng. Khi giải quyết ly hôn và chia tài sản chung, Tòa án phải xem xét giao cửa hàng tạp hóa cho người vợ, giao xe ô tô cho người chồng để họ tiếp tục kinh doanh, tạo thu nhập.","Vợ chồng có thể chia tài sản chung bằng cách giao tài sản cho từng người để họ tiếp tục kinh doanh, tạo thu nhập, nhưng phải đảm bảo quyền và lợi ích hợp pháp của cả hai bên, theo quy định tại Điều 59 của Luật Hôn nhân và gia đình.","chia tài sản, ly hôn, tạo thu nhập","Vợ chồng có thể chia tài sản chung bằng cách thỏa thuận hoặc yêu cầu Tòa án giải quyết, đảm bảo quyền và lợi ích hợp pháp của cả hai bên."
Chia tài sản khi ly hôn được thực hiện như thế nào?,"d) “Lỗi của mỗi bên trong vi phạm quyền, nghĩa vụ của vợ chồng” là lỗi của vợ hoặc chồng vi phạm quyền, nghĩa vụ về nhân thân, tài sản của vợ chồng dẫn đến ly hôn. Ví dụ: Trường hợp người chồng có hành vi bạo lực gia đình, không chung thủy hoặc phá tán tài sản thì khi giải quyết ly hôn Tòa án phải xem xét yếu tố lỗi của người chồng khi chia tài sản chung của vợ chồng để đảm bảo quyền, lợi ích hợp pháp của vợ và con chưa thành niên. 5. Giá trị tài sản chung của vợ chồng, tài sản riêng của vợ, chồng được xác định theo giá thị trường tại thời điểm giải quyết sơ thẩm vụ việc. 6. Khi giải quyết chia tài sản khi ly hôn, Tòa án phải xem xét để bảo vệ quyền, lợi ích hợp pháp của vợ, con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.","Khi giải quyết ly hôn, Tòa án sẽ xem xét yếu tố lỗi của mỗi bên và giá trị tài sản chung, riêng của vợ chồng để đảm bảo quyền, lợi ích hợp pháp của vợ, con chưa thành niên. Giá trị tài sản được xác định theo giá thị trường tại thời điểm giải quyết sơ thẩm vụ việc.","ly hôn, chia tài sản, quyền lợi","Tòa án sẽ xem xét các yếu tố như lỗi của mỗi bên, giá trị tài sản chung và riêng để chia tài sản khi ly hôn, đảm bảo quyền lợi của vợ và con chưa thành niên."
"Lỗi của mỗi bên trong vi phạm quyền, nghĩa vụ của vợ chồng ảnh hưởng đến chia tài sản như thế nào?","d) “Lỗi của mỗi bên trong vi phạm quyền, nghĩa vụ của vợ chồng” là lỗi của vợ hoặc chồng vi phạm quyền, nghĩa vụ về nhân thân, tài sản của vợ chồng dẫn đến ly hôn. Ví dụ: Trường hợp người chồng có hành vi bạo lực gia đình, không chung thủy hoặc phá tán tài sản thì khi giải quyết ly hôn Tòa án phải xem xét yếu tố lỗi của người chồng khi chia tài sản chung của vợ chồng để đảm bảo quyền, lợi ích hợp pháp của vợ và con chưa thành niên.","Lỗi của mỗi bên trong vi phạm quyền, nghĩa vụ của vợ chồng sẽ được Tòa án xem xét khi chia tài sản, nhằm đảm bảo quyền, lợi ích hợp pháp của vợ và con chưa thành niên. Ví dụ, nếu người chồng có hành vi bạo lực gia đình, không chung thủy hoặc phá tán tài sản, Tòa án sẽ xem xét yếu tố lỗi này khi chia tài sản.","lỗi, vi phạm, chia tài sản","Lỗi của mỗi bên sẽ được xem xét khi chia tài sản, để đảm bảo quyền lợi của vợ và con chưa thành niên, đặc biệt trong trường hợp có hành vi bạo lực gia đình hoặc phá tán tài sản."
Chia tài sản chung khi ly hôn được thực hiện như thế nào?,"Ví dụ: Khi chia nhà ở là tài sản chung và là chỗ ở duy nhất của vợ chồng, trong trường hợp không chia được bằng hiện vật thì Tòa án xem xét và quyết định cho người vợ hoặc chồng trực tiếp nuôi con chưa thành niên, con bị hạn chế hoặc mất năng lực hành vi dân sự nhận hiện vật và thanh toán giá trị tương ứng với phần tài sản được chia cho người chồng hoặc vợ nếu người vợ hoặc chồng có yêu cầu.","Khi chia tài sản chung là nhà ở duy nhất của vợ chồng, nếu không chia được bằng hiện vật, Tòa án sẽ xem xét và quyết định cho người vợ hoặc chồng trực tiếp nuôi con chưa thành niên, con bị hạn chế hoặc mất năng lực hành vi dân sự nhận hiện vật và thanh toán giá trị tương ứng với phần tài sản được chia cho người chồng hoặc vợ nếu người vợ hoặc chồng có yêu cầu, theo hướng dẫn tại Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP.","ly hôn, chia tài sản, nhà ở","Khi ly hôn, việc chia tài sản chung sẽ được thực hiện dựa trên các quy định của pháp luật, bao gồm cả việc chia nhà ở là tài sản chung và là chỗ ở duy nhất của vợ chồng."
Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP có hiệu lực từ khi nào?,Điều 8. Hiệu lực thi hành 1. Thông tư liên tịch này có hiệu lực kể từ ngày 01 tháng 3 năm 2016.,"Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP có hiệu lực kể từ ngày 01 tháng 3 năm 2016, theo quy định tại Điều 8 của Thông tư liên tịch này.","Thông tư liên tịch, hiệu lực, ngày 01 tháng 3 năm 2016",Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP có hiệu lực từ ngày 01 tháng 3 năm 2016.
"Thông tư liên tịch này có hiệu lực thì không áp dụng hướng dẫn tại Thông tư liên tịch này để kháng nghị theo thủ tục giám đốc thẩm, tái thẩm không?","Thông tư liên tịch này có hiệu lực thì không áp dụng hướng dẫn tại Thông tư liên tịch này để kháng nghị theo thủ tục giám đốc thẩm, tái thẩm.","Thông tư liên tịch này có hiệu lực thì không áp dụng hướng dẫn tại Thông tư liên tịch này để kháng nghị theo thủ tục giám đốc thẩm, tái thẩm. (Theo Điều 9 Thông tư liên tịch 01/2016/TTLT-TANDTC-VKSNDTC-BTP)","Thông tư liên tịch, kháng nghị, giám đốc thẩm","Thông tư liên tịch này có hiệu lực thì không áp dụng hướng dẫn tại Thông tư liên tịch này để kháng nghị theo thủ tục giám đốc thẩm, tái thẩm."
"Cơ quan nào có thẩm quyền giải thích, sửa đổi, bổ sung Thông tư liên tịch?","Trong quá trình thực hiện, nếu có vướng mắc cần được giải thích hoặc cần sửa đổi, bổ sung Thông tư liên tịch thì Tòa án nhân dân, Viện kiểm sát nhân dân các cấp, cơ quan, tổ chức, cá nhân phản ánh với Tòa án nhân dân tối cao, Viện kiểm sát nhân dân tối cao, Bộ Tư pháp để giải thích, sửa đổi, bổ sung kịp thời.","Tòa án nhân dân tối cao, Viện kiểm sát nhân dân tối cao, Bộ Tư pháp có thẩm quyền giải thích, sửa đổi, bổ sung Thông tư liên tịch. (Theo Điều 9 Thông tư liên tịch 01/2016/TTLT-TANDTC-VKSNDTC-BTP)","Tòa án nhân dân, Viện kiểm sát nhân dân, Bộ Tư pháp","Tòa án nhân dân tối cao, Viện kiểm sát nhân dân tối cao, Bộ Tư pháp có thẩm quyền giải thích, sửa đổi, bổ sung Thông tư liên tịch."
Chồng có quyền ly hôn khi vợ mang thai không?,HỘI ĐỒNG THẨM PHÁN TÒA ÁN NHÂN DÂN TỐI CAO Căn cứ Luật Tổ chức Tòa án nhân dân ngày 24 tháng 11 năm 2014; Căn cứ Luật Hôn nhân và gia đình ngày 19 tháng 6 năm 2014; Căn cứ Bộ luật Dân sự ngày 24 tháng 11 năm 2015; Căn cứ Bộ luật Tố tụng dân sự ngày 25 tháng 11 năm 2015;,"Theo Điều 51 Luật Hôn nhân và gia đình năm 2014, chồng có quyền ly hôn khi vợ mang thai. Tuy nhiên, việc ly hôn cần được xem xét kỹ lưỡng và dựa trên các quy định của pháp luật.","ly hôn, vợ mang thai, quyền ly hôn","Chồng có thể yêu cầu ly hôn khi vợ mang thai, nhưng cần xem xét các quy định của pháp luật và đảm bảo quyền lợi của cả hai bên."
Muốn ly hôn cần những giấy tờ gì?,HỘI ĐỒNG THẨM PHÁN TÒA ÁN NHÂN DÂN TỐI CAO Căn cứ Luật Tổ chức Tòa án nhân dân ngày 24 tháng 11 năm 2014; Căn cứ Luật Hôn nhân và gia đình ngày 19 tháng 6 năm 2014; Căn cứ Bộ luật Dân sự ngày 24 tháng 11 năm 2015; Căn cứ Bộ luật Tố tụng dân sự ngày 25 tháng 11 năm 2015;,"Theo quy định của pháp luật, khi muốn ly hôn, các bên cần chuẩn bị giấy tờ như: Đơn yêu cầu ly hôn, Giấy chứng nhận đăng ký kết hôn, Giấy khai sinh của con (nếu có), Giấy tờ tùy thân của cả hai vợ chồng.","ly hôn, giấy tờ, đơn yêu cầu","Khi muốn ly hôn, cần chuẩn bị giấy tờ như đơn yêu cầu ly hôn, giấy chứng nhận đăng ký kết hôn, giấy khai sinh của con và giấy tờ tùy thân của cả hai vợ chồng."
Chồng có quyền ly hôn khi vợ mang thai không?,Điều 1. Phạm vi điều chỉnh Nghị quyết này hướng dẫn áp dụng một số quy định của pháp luật trong giải quyết vụ việc về hôn nhân và gia đình. Điều 2. Quyền yêu cầu giải quyết ly hôn quy định tại khoản 3 Điều 51 của Luật Hôn nhân và gia đình 1. “Đang có thai” quy định tại khoản 3 Điều 51 của Luật Hôn nhân và gia đình là khoảng thời gian vợ mang trong mình bào thai và được cơ sở y tế có thẩm quyền xác định cho đến thời điểm sinh con hoặc thời điểm đình chỉ thai nghén. 2. “Sinh con” quy định tại khoản 3 Điều 51 của Luật Hôn nhân và gia đình là thuộc một trong các trường hợp sau đây: a) Vợ đã sinh con nhưng không nuôi con trong khoảng thời gian từ khi sinh con đến khi con dưới 12 tháng tuổi; b) Vợ đã sinh con nhưng con chết trong khoảng thời gian dưới 12 tháng tuổi kể từ khi sinh con; c) Vợ có thai từ 22 tuần tuổi trở lên mà phải đình chỉ thai nghén. 3. Chồng không có quyền yêu cầu Tòa án giải quyết,"Khoản 3 Điều 51 của Luật Hôn nhân và gia đình quy định chồng không có quyền yêu cầu Tòa án giải quyết ly hôn khi vợ đang mang thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. Theo đó, chồng không có quyền yêu cầu ly hôn khi vợ mang thai.","ly hôn, vợ mang thai, quyền yêu cầu","Chồng không có quyền yêu cầu ly hôn khi vợ đang mang thai, vì theo quy định của pháp luật, vợ đang mang thai là một trong những trường hợp không được ly hôn."
Vợ có thể yêu cầu ly hôn khi chồng không đồng ý không?,Điều 1. Phạm vi điều chỉnh Nghị quyết này hướng dẫn áp dụng một số quy định của pháp luật trong giải quyết vụ việc về hôn nhân và gia đình. Điều 2. Quyền yêu cầu giải quyết ly hôn quy định tại khoản 3 Điều 51 của Luật Hôn nhân và gia đình 1. “Đang có thai” quy định tại khoản 3 Điều 51 của Luật Hôn nhân và gia đình là khoảng thời gian vợ mang trong mình bào thai và được cơ sở y tế có thẩm quyền xác định cho đến thời điểm sinh con hoặc thời điểm đình chỉ thai nghén. 2. “Sinh con” quy định tại khoản 3 Điều 51 của Luật Hôn nhân và gia đình là thuộc một trong các trường hợp sau đây: a) Vợ đã sinh con nhưng không nuôi con trong khoảng thời gian từ khi sinh con đến khi con dưới 12 tháng tuổi; b) Vợ đã sinh con nhưng con chết trong khoảng thời gian dưới 12 tháng tuổi kể từ khi sinh con; c) Vợ có thai từ 22 tuần tuổi trở lên mà phải đình chỉ thai nghén. 3. Chồng không có quyền yêu cầu Tòa án giải quyết,"Theo quy định của pháp luật, vợ có thể yêu cầu ly hôn khi chồng không đồng ý, nhưng phải tuân thủ các quy định của pháp luật về ly hôn. Vợ cần phải chứng minh rằng việc ly hôn là có căn cứ và hợp pháp.","vợ yêu cầu ly hôn, chồng không đồng ý, quyền yêu cầu","Vợ có thể yêu cầu ly hôn khi chồng không đồng ý, nhưng cần phải tuân thủ các quy định của pháp luật về ly hôn và chứng minh rằng việc ly hôn là có căn cứ và hợp pháp."
